typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20160101","2016","1","201601","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","82493.26","false","0","false","408182.45","0","408182.45","0","false","true",
"C","M","20160201","2016","2","201602","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","283962.38","false","0","false","1012636.8","0","1012636.8","0","false","true",
"C","M","20160301","2016","3","201603","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","189855.34","false","0","false","943404.93","0","943404.93","0","false","true",
"C","M","20160401","2016","4","201604","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","227043.33","false","0","false","1041818.83","0","1041818.83","0","false","true",
"C","M","20160501","2016","5","201605","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","162796.77","false","0","false","768632.1","0","768632.1","0","false","true",
"C","M","20160601","2016","6","201606","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","175045.66","false","0","false","619259.68","0","619259.68","0","false","true",
"C","M","20160701","2016","7","201607","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","241369.43","false","0","false","1069912.28","0","1069912.28","0","false","true",
"C","M","20160801","2016","8","201608","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","339448.09","false","0","false","1443387.75","0","1443387.75","0","false","true",
"C","M","20160901","2016","9","201609","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","303026.71","false","0","false","1230923.95","0","1230923.95","0","false","true",
"C","M","20161001","2016","10","201610","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","334312.16","false","0","false","1435981.95","0","1435981.95","0","false","true",
"C","M","20161101","2016","11","201611","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","261297.78","false","0","false","1360706.97","0","1360706.97","0","false","true",
"C","M","20161201","2016","12","201612","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","243809.55","false","0","false","1094045.6","0","1094045.6","0","false","true",
