"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","031","AZE","Azerbaijan","180632","000","WLD","World",2018,"Gross Exports",34.43877
"H4","032","ARG","Argentina","180632","000","WLD","World",2018,"Gross Exports",5816.13175
"H4","036","AUS","Australia","180632","000","WLD","World",2018,"Gross Exports",22310.924737802
"H4","040","AUT","Austria","180632","000","WLD","World",2018,"Gross Exports",142205.971857604
"H4","044","BHS","Bahamas","180632","000","WLD","World",2018,"Gross Exports",10.35998
"H4","048","BHR","Bahrain","180632","000","WLD","World",2018,"Gross Exports",59.23128347
"H4","051","ARM","Armenia","180632","000","WLD","World",2018,"Gross Exports",290.45594
"H4","056","BEL","Belgium","180632","000","WLD","World",2018,"Gross Exports",271521.016788235
"H4","060","BMU","Bermuda","180632","000","WLD","World",2018,"Gross Exports",0.53082
"H4","068","BOL","Bolivia","180632","000","WLD","World",2018,"Gross Exports",74.49478
"H4","070","BIH","Bosnia Herzg","180632","000","WLD","World",2018,"Gross Exports",3575.66228
"H4","072","BWA","Botswana","180632","000","WLD","World",2018,"Gross Exports",0.064979
"H4","076","BRA","Brazil","180632","000","WLD","World",2018,"Gross Exports",32742.245
"H4","097","EUN","European Union","180632","000","WLD","World",2018,"Gross Exports",738555.927958
"H4","100","BGR","Bulgaria","180632","000","WLD","World",2018,"Gross Exports",57226.742969312
"H4","104","MMR","Myanmar","180632","000","WLD","World",2018,"Gross Exports",19.28332
"H4","112","BLR","Belarus","180632","000","WLD","World",2018,"Gross Exports",13772.7
"H4","120","CMR","Cameroon","180632","000","WLD","World",2018,"Gross Exports",1641.0666099255
"H4","124","CAN","Canada","180632","000","WLD","World",2018,"Gross Exports",183052.231781219
"H4","152","CHL","Chile","180632","000","WLD","World",2018,"Gross Exports",3554.09232219561
"H4","156","CHN","China","180632","000","WLD","World",2018,"Gross Exports",37097.495
"H4","170","COL","Colombia","180632","000","WLD","World",2018,"Gross Exports",16410.60353
"H4","178","COG","Congo","180632","000","WLD","World",2018,"Gross Exports",21.49233163847
"H4","188","CRI","Costa Rica","180632","000","WLD","World",2018,"Gross Exports",1399.06758
"H4","191","HRV","Croatia","180632","000","WLD","World",2018,"Gross Exports",65120.566
"H4","196","CYP","Cyprus","180632","000","WLD","World",2018,"Gross Exports",200.000465
"H4","203","CZE","Czech Rep","180632","000","WLD","World",2018,"Gross Exports",45307.363
"H4","204","BEN","Benin","180632","000","WLD","World",2018,"Gross Exports",22.081689
"H4","208","DNK","Denmark","180632","000","WLD","World",2018,"Gross Exports",20010.4941318264
"H4","214","DOM","Dominican Rp","180632","000","WLD","World",2018,"Gross Exports",1945.92117
"H4","218","ECU","Ecuador","180632","000","WLD","World",2018,"Gross Exports",1630.00193
"H4","222","SLV","El Salvador","180632","000","WLD","World",2018,"Gross Exports",1665.20334
"H4","233","EST","Estonia","180632","000","WLD","World",2018,"Gross Exports",5720.8731945611
"H4","246","FIN","Finland","180632","000","WLD","World",2018,"Gross Exports",13424.5060530646
"H4","251","FRA","France+Monac","180632","000","WLD","World",2018,"Gross Exports",219650.493412244
"H4","268","GEO","Georgia","180632","000","WLD","World",2018,"Gross Exports",239.1911
"H4","275","PSE","Occ.Pal.Terr","180632","000","WLD","World",2018,"Gross Exports",550.364412381075
"H4","276","DEU","Germany","180632","000","WLD","World",2018,"Gross Exports",1231354.42447147
"H4","288","GHA","Ghana","180632","000","WLD","World",2018,"Gross Exports",7786.18601166443
"H4","300","GRC","Greece","180632","000","WLD","World",2018,"Gross Exports",8450.859632856
"H4","320","GTM","Guatemala","180632","000","WLD","World",2018,"Gross Exports",277.478
"H4","344","HKG","Hong Kong","180632","000","WLD","World",2018,"Gross Exports",8736.18478644
"H4","348","HUN","Hungary","180632","000","WLD","World",2018,"Gross Exports",19931.454
"H4","352","ISL","Iceland","180632","000","WLD","World",2018,"Gross Exports",460.59013219752
"H4","360","IDN","Indonesia","180632","000","WLD","World",2018,"Gross Exports",10574.08723
"H4","364","IRN","Iran-Islam.R","180632","000","WLD","World",2018,"Gross Exports",19.362
"H4","372","IRL","Ireland","180632","000","WLD","World",2018,"Gross Exports",126777.91552248
"H4","376","ISR","Israel","180632","000","WLD","World",2018,"Gross Exports",2690
"H4","380","ITA","Italy","180632","000","WLD","World",2018,"Gross Exports",84827.303457
"H4","384","CIV","Cote Divoire","180632","000","WLD","World",2018,"Gross Exports",9.32694588495
"H4","388","JAM","Jamaica","180632","000","WLD","World",2018,"Gross Exports",18.97044
"H4","392","JPN","Japan","180632","000","WLD","World",2018,"Gross Exports",44441.87990097
"H4","398","KAZ","Kazakhstan","180632","000","WLD","World",2018,"Gross Exports",9234.32569
"H4","400","JOR","Jordan","180632","000","WLD","World",2018,"Gross Exports",391.515575176
"H4","404","KEN","Kenya","180632","000","WLD","World",2018,"Gross Exports",423.497010022142
"H4","410","KOR","Korea Rep.","180632","000","WLD","World",2018,"Gross Exports",5423.717
"H4","414","KWT","Kuwait","180632","000","WLD","World",2018,"Gross Exports",61.988
"H4","417","KGZ","Kyrgyzstan","180632","000","WLD","World",2018,"Gross Exports",0.256
"H4","422","LBN","Lebanon","180632","000","WLD","World",2018,"Gross Exports",180.99038602724
"H4","426","LSO","Lesotho","180632","000","WLD","World",2018,"Gross Exports",0.003778168
"H4","428","LVA","Latvia","180632","000","WLD","World",2018,"Gross Exports",4924.732885
"H4","440","LTU","Lithuania","180632","000","WLD","World",2018,"Gross Exports",24881.848
"H4","442","LUX","Luxemberg","180632","000","WLD","World",2018,"Gross Exports",207.921249786698
"H4","446","MAC","Macau","180632","000","WLD","World",2018,"Gross Exports",91.1839010076
"H4","450","MDG","Madagascar","180632","000","WLD","World",2018,"Gross Exports",784.334673
"H4","458","MYS","Malaysia","180632","000","WLD","World",2018,"Gross Exports",63112.5136174945
"H4","466","MLI","Mali","180632","000","WLD","World",2018,"Gross Exports",4.77923
