date,week,price_cop_per_kg
7/1/2013,1 – 7,3762.5
7/1/2013,8 – 4,3797.5
7/1/2013,15 – 21,3737.5
7/1/2013,22 – 28,3797.5
8/1/2013,29 –  4,3937.5
8/1/2013,5 – 1,3897.5
8/1/2013,12 – 18,4012.5
8/1/2013,19 – 25,4137.5
8/1/2013,26 –  1,4217.5
9/1/2013,2 – 8,4287.5
9/1/2013,9 – 5,4287.5
9/1/2013,16 – 22,4462.5
9/1/2013,23 – 29,4477.5
10/1/2013,30 –  6,4437.5
10/1/2013,7 – 3,4487.5
10/1/2013,14 – 20,4637.5
10/1/2013,21 – 27,4687.5
10/1/2013,28 –  3,4687.5
11/1/2013,4 – 10,4675
11/1/2013,11 – 17,4712.5
11/1/2013,18 – 24,4712.5
11/1/2013,25 – 30,4837.5
12/1/2013,2 – 8,4887.5
12/1/2013,9 – 5,4887.5
12/1/2013,16 – 22,4887.5
12/1/2013,23 – 29,4887.5
1/1/2014,30 –  5,4887.5
1/1/2014,6 – 2,4887.5
1/1/2014,13 – 19,4687.5
1/1/2014,20 – 26,4737.5
2/1/2014,27 –  2,4737.5
2/1/2014,3 – 9,4937.5
2/1/2014,10 – 16,5087.5
2/1/2014,17 – 22,5087.5
2/1/2014,23 – 28,5300
3/1/2014,3 – 9,5325
3/1/2014,10 – 16,5375
3/1/2014,17 – 23,5375
3/1/2014,24 – 30,5475
4/1/2014,31 –  6,5475
4/1/2014,7 – 3,5425
4/1/2014,14 – 20,5425
4/1/2014,21 – 27,5425
5/1/2014,28 –  4,5425
5/1/2014,5 – 1,5425
5/1/2014,12 – 18,5325
5/1/2014,19 – 25,5200
5/1/2014,26 –  1,5100
6/1/2014,2 – 8,5100
6/1/2014,9 – 5,5262.5
6/1/2014,16 – 22,5262.5
6/1/2014,23 – 29,5262.5
7/1/2014,31 –  6,5212.5
7/1/2014,7 – 3,5212.5
7/1/2014,14 – 20,5212.5
7/1/2014,21 – 27,5212.5
8/1/2014,28 –  3,5212.5
8/1/2014,4 – 10,5225
8/1/2014,11 – 17,5325
8/1/2014,18 – 24,5362.5
8/1/2014,25 – 31,5362.5
9/1/2014,1 – 7,5462.5
9/1/2014,8 – 4,5462.5
9/1/2014,15 – 21,5365
9/1/2014,22 – 28,5475
10/1/2014,29 –  5,5632.5
10/1/2014,6 – 2,5632.5
10/1/2014,13 – 19,5632.5
10/1/2014,20 – 26,5682.5
10/1/2014,27 –  2,5737.5
11/1/2014,3 – 9,5687.5
11/1/2014,10 – 16,5387.5
11/1/2014,17 – 22,5477.5
11/1/2014,23 – 30,5502.5
12/1/2014,1 – 7,5652.5
12/1/2014,8 – 4,5800
12/1/2014,15 – 21,6032.5
12/1/2014,22 – 29,6242.5
1/1/2015,5 – 1,6242.5
1/1/2015,12 – 18,6242.5
1/1/2015,19 – 25,6405
1/1/2015,26 – 31,5932.5
2/1/2015,1 – 7,5762.5
2/1/2015,8 – 4,5762.5
2/1/2015,15 – 21,5867.5
2/1/2015,22 – 28,6082.5
3/1/2015,1 – 7,6082.5
3/1/2015,8 – 4,6312.5
3/1/2015,15 – 21,6312.5
3/1/2015,22 – 28,6168
4/1/2015,30 –  5,6168
4/1/2015,6 – 2,6040
4/1/2015,13 – 19,6040
4/1/2015,20 – 26,6040
5/1/2015,27 –  3,6012.5
5/1/2015,4 – 0,5980
5/1/2015,11 – 17,5980
5/1/2015,18 – 24,6062.5
5/1/2015,25 – 31,6295
6/1/2015,1 – 7,6295
6/1/2015, 8 – 14,6637.5
6/1/2015,15 – 21,6595
6/1/2015,22 – 28,6670
6/1/2015,29 – 05,6837.5
7/1/2015,6 – 2,6905
7/1/2015,13 – 19,7242.5
7/1/2015,20 – 26,7340
7/1/2015,27 –  2,7340
8/1/2015,3 – 9,7340
8/1/2015,10 – 16,7477.5
8/1/2015,17 – 23,7325
8/1/2015,24 – 30,7420
9/1/2015,31 –  6,7920
9/1/2015,7 – 3,7850
9/1/2015,14 – 20,7935
9/1/2015,21 – 27,7935
9/1/2015,28 –  4,8262.5
10/1/2015,5 – 1,8097.5
10/1/2015,12 – 18,7827.5
10/1/2015,19 – 25,7625
10/1/2015,26 –  1,7762.5
11/1/2015,2 – 8,7960
11/1/2015,9 – 5,7807.5
11/1/2015,16 – 22,8112.5
11/1/2015,23 – 29,8537.5
12/1/2015,30 –  6,8672.5
12/1/2015,7 – 3,8800
12/1/2015,14 – 20,9245
12/1/2015,21 – 27,9342.5
12/1/2015,28 –  3,8872.5
1/1/2016,4 – 0,8562.5
1/1/2016,11 – 17,8292.5
1/1/2016,18 – 24,7922.5
1/1/2016,25 – 31,8000
2/1/2016,1 – 7,8090
2/1/2016,8 – 4,8040
2/1/2016,15 – 21,7995
2/1/2016,22 – 28,8280
3/1/2016,29 –  6,8412.5
3/1/2016,7 – 3,8247.5
3/1/2016,14 – 20,8380
3/1/2016,21 – 27,8152.5
3/1/2016,28 –  3,8152.5
4/1/2016,4 – 0,7725
4/1/2016,11 – 17,7725
4/1/2016,18 – 24,7725
4/1/2016,25 –  1,7985
5/1/2016,2 – 8,8190
5/1/2016,9 – 5,8190
5/1/2016,16 – 22,8025
5/1/2016,23 – 29,8150
6/1/2016,30 –  5,8100
6/1/2016,6 – 2,8275
6/1/2016,13 – 19,8035
6/1/2016,20 – 26,8205
6/1/2016,27 –  3,8122.5
7/1/2016,4 – 10,8080
7/1/2016,11 – 17,8080
7/1/2016,18 – 24,7980
7/1/2016,25 – 31,7735
8/1/2016,1 – 7,7735
8/1/2016,8 – 4,8032.5
8/1/2016,15 – 21,7955
8/1/2016,22 – 28,7955
8/1/2016,29 –  4,7955
9/1/2016,5 – 1,7955
9/1/2016,12 – 18,7700
9/1/2016,19 – 25,7700
9/1/2016,26 –  2,7775
10/1/2016,3 – 9,7875
10/1/2016,10 – 16,7875
10/1/2016,17 – 23,7767.5
10/1/2016,24 – 30,7767.5
11/1/2016,31 –  6,7530
11/1/2016,7 – 3,7607.5
11/1/2016,14 – 20,7132.5
11/1/2016,21 – 27,6947.5
12/1/2016,28 –  4,6947.5
12/1/2016,5 – 1,6757.5
12/1/2016,12 – 18,6650
12/1/2016,19 – 25,6597.5
12/1/2016,26 – 31,6225
1/1/2017,2 – 8,6225
1/1/2017,9 – 5,5955
1/1/2017,16 – 22,5875
1/1/2017,23 – 29,5925
2/1/2017,30 –  5,5907.5
2/1/2017,6 – 2,5722.5
2/1/2017,13 – 19,5665
2/1/2017,20 – 26,5665
3/1/2017,27 – 05,5665
3/1/2017,06 – 12,5645
