nomenclature,reporter_code,reporter_iso3,reporter_name,product_code,partner_code,partner_iso3,partner_name,year,trade_flow_name,trade_value_in_1000_usd
H5,8,ALB,Albania,180632,0,WLD,World,2024,Gross Exports,60.440147
H5,31,AZE,Azerbaijan,180632,0,WLD,World,2024,Gross Exports,22.344
H5,32,ARG,Argentina,180632,0,WLD,World,2024,Gross Exports,8934.95888
H5,36,AUS,Australia,180632,0,WLD,World,2024,Gross Exports,19816.75235
H5,40,AUT,Austria,180632,0,WLD,World,2024,Gross Exports,360504.0188
H5,51,ARM,Armenia,180632,0,WLD,World,2024,Gross Exports,376.2471
H5,52,BRB,Barbados,180632,0,WLD,World,2024,Gross Exports,90.049
H5,56,BEL,Belgium,180632,0,WLD,World,2024,Gross Exports,310005.9307
H5,68,BOL,Bolivia,180632,0,WLD,World,2024,Gross Exports,83.22693
H5,70,BIH,Bosnia Herzg,180632,0,WLD,World,2024,Gross Exports,3632.536733
H5,76,BRA,Brazil,180632,0,WLD,World,2024,Gross Exports,32915.507
H5,97,EUN,European Union,180632,0,WLD,World,2024,Gross Exports,1837797.928
H5,100,BGR,Bulgaria,180632,0,WLD,World,2024,Gross Exports,122492.2827
H5,124,CAN,Canada,180632,0,WLD,World,2024,Gross Exports,446546.1162
H5,144,LKA,Sri Lanka,180632,0,WLD,World,2024,Gross Exports,9.890908
H5,152,CHL,Chile,180632,0,WLD,World,2024,Gross Exports,2158.40714
H5,156,CHN,China,180632,0,WLD,World,2024,Gross Exports,35166.882
H5,191,HRV,Croatia,180632,0,WLD,World,2024,Gross Exports,97220.46
H5,196,CYP,Cyprus,180632,0,WLD,World,2024,Gross Exports,106.39367
H5,203,CZE,Czech Rep,180632,0,WLD,World,2024,Gross Exports,81185.582
H5,208,DNK,Denmark,180632,0,WLD,World,2024,Gross Exports,22587.77074
H5,214,DOM,Dominican Rp,180632,0,WLD,World,2024,Gross Exports,4732.120591
H5,218,ECU,Ecuador,180632,0,WLD,World,2024,Gross Exports,2264.0049
H5,222,SLV,El Salvador,180632,0,WLD,World,2024,Gross Exports,2436.77933
H5,233,EST,Estonia,180632,0,WLD,World,2024,Gross Exports,5110.43854
H5,246,FIN,Finland,180632,0,WLD,World,2024,Gross Exports,14933.70495
H5,251,FRA,France+Monac,180632,0,WLD,World,2024,Gross Exports,299449.5564
H5,268,GEO,Georgia,180632,0,WLD,World,2024,Gross Exports,1523.821749
H5,276,DEU,Germany,180632,0,WLD,World,2024,Gross Exports,1944113.092
H5,300,GRC,Greece,180632,0,WLD,World,2024,Gross Exports,17987.42494
H5,320,GTM,Guatemala,180632,0,WLD,World,2024,Gross Exports,1018.214
H5,328,GUY,Guyana,180632,0,WLD,World,2024,Gross Exports,0.070983
H5,344,HKG,Hong Kong,180632,0,WLD,World,2024,Gross Exports,13856.67087
H5,348,HUN,Hungary,180632,0,WLD,World,2024,Gross Exports,20559.475
H5,352,ISL,Iceland,180632,0,WLD,World,2024,Gross Exports,900.625141
H5,372,IRL,Ireland,180632,0,WLD,World,2024,Gross Exports,159599.7741
H5,376,ISR,Israel,180632,0,WLD,World,2024,Gross Exports,2741
H5,380,ITA,Italy,180632,0,WLD,World,2024,Gross Exports,156229.5752
H5,392,JPN,Japan,180632,0,WLD,World,2024,Gross Exports,57457.8327
H5,410,KOR,Korea Rep.,180632,0,WLD,World,2024,Gross Exports,6990.132
H5,417,KGZ,Kyrgyzstan,180632,0,WLD,World,2024,Gross Exports,7.238
H5,428,LVA,Latvia,180632,0,WLD,World,2024,Gross Exports,10132.87353
H5,440,LTU,Lithuania,180632,0,WLD,World,2024,Gross Exports,47337.566
H5,442,LUX,Luxemberg,180632,0,WLD,World,2024,Gross Exports,1121.103563
H5,446,MAC,Macau,180632,0,WLD,World,2024,Gross Exports,10.04278
H5,458,MYS,Malaysia,180632,0,WLD,World,2024,Gross Exports,107346.2338
H5,470,MLT,Malta,180632,0,WLD,World,2024,Gross Exports,17.117847
H5,484,MEX,Mexico,180632,0,WLD,World,2024,Gross Exports,155344.33
H5,498,MDA,Rep.Moldova,180632,0,WLD,World,2024,Gross Exports,28.367
H5,499,MNT,Montenegro,180632,0,WLD,World,2024,Gross Exports,420.426801
H5,516,NAM,Namibia,180632,0,WLD,World,2024,Gross Exports,28.304547
H5,528,NLD,Netherlands,180632,0,WLD,World,2024,Gross Exports,225959.3695
H5,554,NZL,New Zealand,180632,0,WLD,World,2024,Gross Exports,68943.15922
H5,579,NOR,"Norway,Sb,JM",180632,0,WLD,World,2024,Gross Exports,10103.15537
H5,586,PAK,Pakistan,180632,0,WLD,World,2024,Gross Exports,212.335701
H5,591,PAN,Panama,180632,0,WLD,World,2024,Gross Exports,231.717
H5,600,PRY,Paraguay,180632,0,WLD,World,2024,Gross Exports,55.977
H5,608,PHL,Philippines,180632,0,WLD,World,2024,Gross Exports,405.409
H5,616,POL,Poland,180632,0,WLD,World,2024,Gross Exports,456528.015
H5,620,PRT,Portugal,180632,0,WLD,World,2024,Gross Exports,41366.58414
H5,642,ROM,Romania,180632,0,WLD,World,2024,Gross Exports,26701.35511
H5,699,IND,India,180632,0,WLD,World,2024,Gross Exports,17118.82255
H5,703,SVK,Slovakia,180632,0,WLD,World,2024,Gross Exports,73581.4849
H5,705,SVN,Slovenia,180632,0,WLD,World,2024,Gross Exports,20573.32483
H5,710,ZAF,South Africa,180632,0,WLD,World,2024,Gross Exports,10479.41463
H5,724,ESP,Spain,180632,0,WLD,World,2024,Gross Exports,243349.5751
H5,752,SWE,Sweden,180632,0,WLD,World,2024,Gross Exports,92162.88902
H5,757,CHE,Switz.Liecht,180632,0,WLD,World,2024,Gross Exports,624779.8393
H5,764,THA,Thailand,180632,0,WLD,World,2024,Gross Exports,3474.71128
H5,768,TGO,Togo,180632,0,WLD,World,2024,Gross Exports,208.755255
H5,792,TUR,Turkey,180632,0,WLD,World,2024,Gross Exports,121146.262
H5,804,UKR,Ukraine,180632,0,WLD,World,2024,Gross Exports,114526.1107
H5,807,MKD,TFYR Macedna,180632,0,WLD,World,2024,Gross Exports,3103.79123
H5,818,EGY,Egypt,180632,0,WLD,World,2024,Gross Exports,11654.14366
H5,826,GBR,Untd.Kingdom,180632,0,WLD,World,2024,Gross Exports,190693.3225
H5,842,USA,"USA,PR,USVI",180632,0,WLD,World,2024,Gross Exports,213435.5
H5,860,UZB,Uzbekistan,180632,0,WLD,World,2024,Gross Exports,1944.21498
H5,31,AZE,Azerbaijan,180631,0,WLD,World,2024,Gross Exports,117.97232
H5,32,ARG,Argentina,180631,0,WLD,World,2024,Gross Exports,659.58477
H5,36,AUS,Australia,180631,0,WLD,World,2024,Gross Exports,50322.68677
H5,40,AUT,Austria,180631,0,WLD,World,2024,Gross Exports,279151.9365
H5,51,ARM,Armenia,180631,0,WLD,World,2024,Gross Exports,2585.91481
H5,52,BRB,Barbados,180631,0,WLD,World,2024,Gross Exports,117.2265
H5,56,BEL,Belgium,180631,0,WLD,World,2024,Gross Exports,187415.881
H5,68,BOL,Bolivia,180631,0,WLD,World,2024,Gross Exports,337.27317
H5,70,BIH,Bosnia Herzg,180631,0,WLD,World,2024,Gross Exports,405.592449
H5,76,BRA,Brazil,180631,0,WLD,World,2024,Gross Exports,42873.675
H5,97,EUN,European Union,180631,0,WLD,World,2024,Gross Exports,1846416.669
H5,100,BGR,Bulgaria,180631,0,WLD,World,2024,Gross Exports,87328.17489
H5,124,CAN,Canada,180631,0,WLD,World,2024,Gross Exports,369625.9202
H5,144,LKA,Sri Lanka,180631,0,WLD,World,2024,Gross Exports,278.366223
H5,152,CHL,Chile,180631,0,WLD,World,2024,Gross Exports,2601.145211
H5,156,CHN,China,180631,0,WLD,World,2024,Gross Exports,92488.778
H5,191,HRV,Croatia,180631,0,WLD,World,2024,Gross Exports,189441.266
H5,196,CYP,Cyprus,180631,0,WLD,World,2024,Gross Exports,168.123992
H5,203,CZE,Czech Rep,180631,0,WLD,World,2024,Gross Exports,83980.832
H5,208,DNK,Denmark,180631,0,WLD,World,2024,Gross Exports,49721.44709
H5,214,DOM,Dominican Rp,180631,0,WLD,World,2024,Gross Exports,39.351016
H5,218,ECU,Ecuador,180631,0,WLD,World,2024,Gross Exports,269.784199
H5,222,SLV,El Salvador,180631,0,WLD,World,2024,Gross Exports,33.61632
H5,233,EST,Estonia,180631,0,WLD,World,2024,Gross Exports,3933.76629
H5,242,FJI,Fiji,180631,0,WLD,World,2024,Gross Exports,13.24957
H5,246,FIN,Finland,180631,0,WLD,World,2024,Gross Exports,13560.60684
H5,251,FRA,France+Monac,180631,0,WLD,World,2024,Gross Exports,69863.02935
H5,268,GEO,Georgia,180631,0,WLD,World,2024,Gross Exports,3105.584846
H5,276,DEU,Germany,180631,0,WLD,World,2024,Gross Exports,1522353.524
H5,300,GRC,Greece,180631,0,WLD,World,2024,Gross Exports,10012.92846
H5,320,GTM,Guatemala,180631,0,WLD,World,2024,Gross Exports,311.924
H5,344,HKG,Hong Kong,180631,0,WLD,World,2024,Gross Exports,9421.266127
H5,348,HUN,Hungary,180631,0,WLD,World,2024,Gross Exports,107511.538
H5,352,ISL,Iceland,180631,0,WLD,World,2024,Gross Exports,827.074235
H5,372,IRL,Ireland,180631,0,WLD,World,2024,Gross Exports,42005.11722
H5,376,ISR,Israel,180631,0,WLD,World,2024,Gross Exports,1395
