raw_date,date,month_sum,number_weeks,avg_month, trm_usd ,price_usd_metric_kilogram,price_usd_metric_ton
7/1/2013,2013-07-01,15095,4,3773.75," 1,901.54 ",1.98,1984.57
8/1/2013,2013-08-01,20202.5,5,4040.50," 1,902.10 ",2.12,2124.23
9/1/2013,2013-09-01,17515,4,4378.75," 1,919.51 ",2.28,2281.18
10/1/2013,2013-10-01,22937.5,5,4587.50," 1,885.13 ",2.43,2433.52
11/1/2013,2013-11-01,18937.5,4,4734.38," 1,921.75 ",2.46,2463.57
12/1/2013,2013-12-01,19550,4,4887.50," 1,932.96 ",2.53,2528.51
1/1/2014,2014-01-01,19200,4,4800.00," 1,957.29 ",2.45,2452.37
2/1/2014,2014-02-01,25150,5,5030.00," 2,038.49 ",2.47,2467.51
3/1/2014,2014-03-01,21550,4,5387.50," 2,019.71 ",2.67,2667.46
4/1/2014,2014-04-01,21750,4,5437.50," 1,938.36 ",2.81,2805.21
5/1/2014,2014-05-01,26475,5,5295.00," 1,915.36 ",2.76,2764.49
6/1/2014,2014-06-01,20887.5,4,5221.88," 1,887.04 ",2.77,2767.23
7/1/2014,2014-07-01,20850,4,5212.50," 1,857.64 ",2.81,2805.97
8/1/2014,2014-08-01,26487.5,5,5297.50," 1,898.13 ",2.79,2790.91
9/1/2014,2014-09-01,21765,4,5441.25," 1,973.72 ",2.76,2756.85
10/1/2014,2014-10-01,28317.5,5,5663.50," 2,048.57 ",2.76,2764.61
11/1/2014,2014-11-01,22055,4,5513.75," 2,128.68 ",2.59,2590.22
12/1/2014,2014-12-01,23727.5,4,5931.88," 2,342.25 ",2.53,2532.55
1/1/2015,2015-01-01,24822.5,4,6205.63," 2,397.26 ",2.59,2588.63
2/1/2015,2015-02-01,23475,4,5868.75," 2,420.67 ",2.42,2424.43
3/1/2015,2015-03-01,24875.5,4,6218.88," 2,585.36 ",2.41,2405.42
4/1/2015,2015-04-01,24288,4,6072.00," 2,505.25 ",2.42,2423.71
5/1/2015,2015-05-01,30330,5,6066.00," 2,437.54 ",2.49,2488.58
6/1/2015,2015-06-01,33035,5,6607.00," 2,562.48 ",2.58,2578.36
7/1/2015,2015-07-01,28827.5,4,7206.88," 2,732.04 ",2.64,2637.91
8/1/2015,2015-08-01,29562.5,4,7390.63," 3,012.59 ",2.45,2453.25
9/1/2015,2015-09-01,39902.5,5,7980.50," 3,066.41 ",2.60,2602.56
10/1/2015,2015-10-01,31312.5,4,7828.13," 2,929.47 ",2.67,2672.20
11/1/2015,2015-11-01,32417.5,4,8104.38," 3,001.38 ",2.70,2700.22
12/1/2015,2015-12-01,44932.5,5,8986.50," 3,244.20 ",2.77,2770.02
1/1/2016,2016-01-01,32777.5,4,8194.38," 3,270.20 ",2.51,2505.78
2/1/2016,2016-02-01,32405,4,8101.25," 3,354.96 ",2.41,2414.71
3/1/2016,2016-03-01,41345,5,8269.00," 3,128.79 ",2.64,2642.88
4/1/2016,2016-04-01,31160,4,7790.00," 2,997.73 ",2.60,2598.64
5/1/2016,2016-05-01,32555,4,8138.75," 2,993.51 ",2.72,2718.80
6/1/2016,2016-06-01,40737.5,5,8147.50," 2,992.86 ",2.72,2722.31
7/1/2016,2016-07-01,31875,4,7968.75," 2,961.00 ",2.69,2691.24
8/1/2016,2016-08-01,39632.5,5,7926.50," 2,952.77 ",2.68,2684.43
9/1/2016,2016-09-01,31130,4,7782.50," 2,924.27 ",2.66,2661.35
10/1/2016,2016-10-01,31285,4,7821.25," 2,929.39 ",2.67,2669.93
11/1/2016,2016-11-01,29217.5,4,7304.38," 3,110.26 ",2.35,2348.48
12/1/2016,2016-12-01,33177.5,5,6635.50," 3,009.86 ",2.20,2204.58
1/1/2017,2017-01-01,23980,4,5995.00," 2,941.40 ",2.04,2038.15
2/1/2017,2017-02-01,22960,4,5740.00," 2,879.57 ",1.99,1993.36
3/1/2017,2017-03-01,28375,5,5675.00," 2,942.29 ",1.93,1928.77
4/1/2017,2017-04-01,21572.5,4,5393.13," 2,877.82 ",1.87,1874.03
5/1/2017,2017-05-01,23960.5,5,4792.10," 2,923.61 ",1.64,1639.10
6/1/2017,2017-06-01,19526,4,4881.50," 2,957.10 ",1.65,1650.77
7/1/2017,2017-07-01,24528,5,4905.60," 3,036.58 ",1.62,1615.50
8/1/2017,2017-08-01,19892,4,4973.00," 2,973.20 ",1.67,1672.61
9/1/2017,2017-09-01,19488,4,4872.00," 2,917.09 ",1.67,1670.16
10/1/2017,2017-10-01,25822,5,5164.40," 2,953.76 ",1.75,1748.42
11/1/2017,2017-11-01,21650.3,4,5412.58," 3,013.47 ",1.80,1796.13
12/1/2017,2017-12-01,20118,4,5029.50," 2,991.76 ",1.68,1681.12
1/1/2018,2018-01-01,23980,5,4796.00," 2,868.57 ",1.67,1671.91
2/1/2018,2018-02-01,19931,4,4982.75," 2,860.25 ",1.74,1742.07
3/1/2018,2018-03-01,23768,4,5942.00," 2,847.93 ",2.09,2086.43
4/1/2018,2018-04-01,31651,5,6330.20," 2,766.29 ",2.29,2288.34
5/1/2018,2018-05-01,26692.6,4,6673.15," 2,861.83 ",2.33,2331.78
6/1/2018,2018-06-01,24070,4,6017.50," 2,889.69 ",2.08,2082.40
7/1/2018,2018-07-01,24239.63,4,6059.91," 2,885.32 ",2.10,2100.25
8/1/2018,2018-08-01,27611.7,5,5522.34," 2,958.67 ",1.87,1866.50
9/1/2018,2018-09-01,24013.2,4,6003.30," 3,033.77 ",1.98,1978.83
10/1/2018,2018-10-01,28420,5,5684.00," 3,084.83 ",1.84,1842.56
11/1/2018,2018-11-01,24845.6,4,6211.40," 3,194.03 ",1.94,1944.69
12/1/2018,2018-12-01,24139.2,4,6034.80," 3,218.55 ",1.88,1875.01
1/1/2019,2019-01-01,31034.8,5,6206.96," 3,165.19 ",1.96,1961.01
2/1/2019,2019-02-01,24005.4,4,6001.35," 3,115.84 ",1.93,1926.08
3/1/2019,2019-03-01,23781.4,4,5945.35," 3,128.68 ",1.90,1900.27
4/1/2019,2019-04-01,24787.3,4,6196.83," 3,155.77 ",1.96,1963.65
5/1/2019,2019-05-01,25761.2,4,6440.30," 3,304.49 ",1.95,1948.95
6/1/2019,2019-06-01,34846.6,5,6969.32," 3,260.52 ",2.14,2137.49
7/1/2019,2019-07-01,27067.1,4,6766.78," 3,206.60 ",2.11,2110.26
8/1/2019,2019-08-01,33039.1,5,6607.82," 3,410.73 ",1.94,1937.36
9/1/2019,2019-09-01,27106.3,4,6776.58," 3,399.46 ",1.99,1993.43
10/1/2019,2019-10-01,29840.3,4,7460.08," 3,433.31 ",2.17,2172.85
11/1/2019,2019-11-01,37335.1,5,7467.02," 3,401.47 ",2.20,2195.23
12/1/2019,2019-12-01,31041.4,4,7760.35," 3,378.05 ",2.30,2297.29
1/1/2020,2020-01-01,36746.7,5,7349.34," 3,311.19 ",2.22,2219.55
2/1/2020,2020-02-01,33191.7,4,8297.93," 3,411.05 ",2.43,2432.66
3/1/2020,2020-03-01,33773.5,4,8443.38," 3,877.05 ",2.18,2177.78
4/1/2020,2020-04-01,41129.7,5,8225.94," 3,977.39 ",2.07,2068.17
5/1/2020,2020-05-01,33986.7,4,8496.68," 3,858.19 ",2.20,2202.24
6/1/2020,2020-06-01,31414.6,4,7853.65," 3,701.60 ",2.12,2121.69
7/1/2020,2020-07-01,28512.9,4,7128.23," 3,657.87 ",1.95,1948.74
8/1/2020,2020-08-01,38037.7,5,7607.54," 3,783.03 ",2.01,2010.97
9/1/2020,2020-09-01,42606.3,5,8521.26," 3,750.22 ",2.27,2272.21
10/1/2020,2020-10-01,34421,4,8605.25," 3,833.79 ",2.24,2244.58
11/1/2020,2020-11-01,41630,5,8326.00," 3,685.63 ",2.26,2259.05
12/1/2020,2020-12-01,32653.6,4,8163.40," 3,466.13 ",2.36,2355.19
1/1/2021,2021-01-01,31498.5,4,7874.63," 3,491.32 ",2.26,2255.49
2/1/2021,2021-02-01,30833.5,4,7708.38," 3,554.50 ",2.17,2168.62
3/1/2021,2021-03-01,30790.1,4,7697.53," 3,612.77 ",2.13,2130.64
4/1/2021,2021-04-01,37522,5,7504.40," 3,650.78 ",2.06,2055.56
5/1/2021,2021-05-01,30201.6,4,7550.40," 3,735.67 ",2.02,2021.17
6/1/2021,2021-06-01,29069.2,4,7267.30," 3,685.04 ",1.97,1972.11
7/1/2021,2021-07-01,34746.4,5,6949.28," 3,829.42 ",1.81,1814.71
8/1/2021,2021-08-01,38783.5,5,7756.70," 3,881.18 ",2.00,1998.54
9/1/2021,2021-09-01,33057.3,4,8264.33," 3,821.54 ",2.16,2162.57
10/1/2021,2021-10-01,34097.7,4,8524.43," 3,773.38 ",2.26,2259.09
11/1/2021,2021-11-01,32762.2,4,8190.55," 3,902.90 ",2.10,2098.58
12/1/2021,2021-12-01,41345.5,5,8269.10," 3,963.13 ",2.09,2086.51
1/1/2022,2022-01-01,34475.8,4,8618.95," 3,999.62 ",2.15,2154.94
2/1/2022,2022-02-01,35659.7,4,8914.93," 3,935.84 ",2.27,2265.07
3/1/2022,2022-03-01,43277.7,5,8655.54," 3,807.17 ",2.27,2273.48
4/1/2022,2022-04-01,33851,4,8462.75," 3,792.98 ",2.23,2231.16
5/1/2022,2022-05-01,41728,5,8345.60," 4,019.08 ",2.08,2076.50
6/1/2022,2022-06-01,31550.1,4,7887.53," 3,930.77 ",2.01,2006.61
7/1/2022,2022-07-01,33321.1,4,8330.28," 4,367.81 ",1.91,1907.20
8/1/2022,2022-08-01,43022.96,5,8604.59," 4,322.47 ",1.99,1990.67
9/1/2022,2022-09-01,35051.6,4,8762.90," 4,433.65 ",1.98,1976.45
10/1/2022,2022-10-01,45462.66,5,9092.53," 4,711.83 ",1.93,1929.72
11/1/2022,2022-11-01,39540.5,4,9885.13," 4,926.66 ",2.01,2006.46
12/1/2022,2022-12-01,40066.3,4,10016.58," 4,788.49 ",2.09,2091.80
1/1/2023,2023-01-01,41668,4,10417.00," 4,715.20 ",2.21,2209.24
2/1/2023,2023-02-01,55408.7,5,11081.74," 4,803.11 ",2.31,2307.20
3/1/2023,2023-03-01,46884.2,4,11721.05," 4,766.31 ",2.46,2459.15
4/1/2023,2023-04-01,46452.4,4,11613.10," 4,542.67 ",2.56,2556.45
