date,trm_average_month
11/1/1991,694.18
12/1/1991,630.41
1/1/1992,644.06
2/1/1992,635.67
3/1/1992,640.50
4/1/1992,649.96
5/1/1992,659.77
6/1/1992,677.17
7/1/1992,704.77
8/1/1992,694.17
9/1/1992,697.50
10/1/1992,707.80
11/1/1992,722.57
12/1/1992,733.83
1/1/1993,745.18
2/1/1993,749.73
3/1/1993,764.70
4/1/1993,771.47
5/1/1993,779.45
6/1/1993,784.49
7/1/1993,795.00
8/1/1993,804.64
9/1/1993,809.69
10/1/1993,814.48
11/1/1993,813.94
12/1/1993,803.28
1/1/1994,815.74
2/1/1994,817.59
3/1/1994,819.80
4/1/1994,829.35
5/1/1994,841.41
6/1/1994,831.16
7/1/1994,818.86
8/1/1994,814.67
9/1/1994,829.76
10/1/1994,839.05
11/1/1994,829.52
12/1/1994,829.44
1/1/1995,846.32
2/1/1995,850.52
3/1/1995,865.42
4/1/1995,872.99
5/1/1995,876.76
6/1/1995,874.52
7/1/1995,892.32
8/1/1995,935.66
9/1/1995,963.37
10/1/1995,985.10
11/1/1995,1000.43
12/1/1995,987.12
1/1/1996,1010.22
2/1/1996,1029.09
3/1/1996,1044.97
4/1/1996,1050.70
5/1/1996,1065.77
6/1/1996,1071.61
7/1/1996,1063.97
8/1/1996,1045.03
9/1/1996,1040.12
10/1/1996,1015.46
11/1/1996,998.66
12/1/1996,1001.61
1/1/1997,1024.30
2/1/1997,1072.95
3/1/1997,1062.01
4/1/1997,1060.25
5/1/1997,1074.53
6/1/1997,1082.21
7/1/1997,1102.51
8/1/1997,1133.60
9/1/1997,1222.83
10/1/1997,1262.67
11/1/1997,1294.56
12/1/1997,1295.57
1/1/1998,1321.43
2/1/1998,1346.29
3/1/1998,1357.12
4/1/1998,1359.93
5/1/1998,1385.36
6/1/1998,1384.50
7/1/1998,1371.69
8/1/1998,1390.71
9/1/1998,1523.48
10/1/1998,1588.01
11/1/1998,1562.17
12/1/1998,1520.48
1/1/1999,1567.97
2/1/1999,1566.85
3/1/1999,1549.20
4/1/1999,1570.63
5/1/1999,1642.18
6/1/1999,1691.61
7/1/1999,1814.65
8/1/1999,1879.00
9/1/1999,1975.96
10/1/1999,1978.55
11/1/1999,1945.43
12/1/1999,1887.47
1/1/2000,1921.89
2/1/2000,1949.87
3/1/2000,1956.31
4/1/2000,1987.95
5/1/2000,2055.53
6/1/2000,2119.75
7/1/2000,2160.24
8/1/2000,2187.27
9/1/2000,2214.14
10/1/2000,2176.57
11/1/2000,2135.29
12/1/2000,2187.34
1/1/2001,2242.31
2/1/2001,2243.59
3/1/2001,2279.40
4/1/2001,2323.19
5/1/2001,2348.00
6/1/2001,2304.78
7/1/2001,2304.42
8/1/2001,2288.00
9/1/2001,2327.74
10/1/2001,2320.00
11/1/2001,2310.34
12/1/2001,2306.13
1/1/2002,2276.97
2/1/2002,2285.96
3/1/2002,2280.25
4/1/2002,2263.60
5/1/2002,2308.60
6/1/2002,2361.14
7/1/2002,2506.29
8/1/2002,2645.80
9/1/2002,2755.75
10/1/2002,2830.11
11/1/2002,2731.33
12/1/2002,2814.19
1/1/2003,2905.50
2/1/2003,2950.54
3/1/2003,2958.64
4/1/2003,2925.66
5/1/2003,2856.17
6/1/2003,2827.41
7/1/2003,2859.20
8/1/2003,2865.23
9/1/2003,2840.68
10/1/2003,2873.95
11/1/2003,2846.54
12/1/2003,2806.55
1/1/2004,2750.82
2/1/2004,2718.25
3/1/2004,2670.92
4/1/2004,2641.57
5/1/2004,2719.52
6/1/2004,2716.46
7/1/2004,2651.13
8/1/2004,2599.37
9/1/2004,2553.42
10/1/2004,2580.24
11/1/2004,2530.16
12/1/2004,2413.29
1/1/2005,2364.52
2/1/2005,2339.62
3/1/2005,2356.81
4/1/2005,2351.02
5/1/2005,2339.35
6/1/2005,2331.44
7/1/2005,2322.79
8/1/2005,2306.77
9/1/2005,2295.47
10/1/2005,2292.72
11/1/2005,2279.74
12/1/2005,2278.54
1/1/2006,2273.71
2/1/2006,2255.77
3/1/2006,2261.92
4/1/2006,2335.14
5/1/2006,2418.65
6/1/2006,2542.22
7/1/2006,2513.70
8/1/2006,2388.98
9/1/2006,2398.71
10/1/2006,2361.80
11/1/2006,2290.44
12/1/2006,2260.71
1/1/2007,2236.20
2/1/2007,2227.57
3/1/2007,2202.84
4/1/2007,2144.90
5/1/2007,2009.42
6/1/2007,1923.53
7/1/2007,1951.84
8/1/2007,2056.09
9/1/2007,2113.37
10/1/2007,2001.09
11/1/2007,2046.36
12/1/2007,2013.83
1/1/2008,1983.18
2/1/2008,1905.29
3/1/2008,1843.49
4/1/2008,1795.10
5/1/2008,1775.16
6/1/2008,1732.29
7/1/2008,1781.05
8/1/2008,1847.48
9/1/2008,2066.19
10/1/2008,2288.86
11/1/2008,2333.66
12/1/2008,2251.51
1/1/2009,2253.51
2/1/2009,2512.34
3/1/2009,2469.63
4/1/2009,2374.61
5/1/2009,2227.32
6/1/2009,2089.46
7/1/2009,2049.24
8/1/2009,2017.62
9/1/2009,1978.03
10/1/2009,1901.40
11/1/2009,1976.88
12/1/2009,2018.01
1/1/2010,1983.43
2/1/2010,1951.72
3/1/2010,1908.99
4/1/2010,1937.45
5/1/2010,1983.59
6/1/2010,1926.85
7/1/2010,1874.41
8/1/2010,1821.20
9/1/2010,1805.77
10/1/2010,1808.61
11/1/2010,1862.99
12/1/2010,1922.33
1/1/2011,1867.08
2/1/2011,1882.37
