typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20160101,2016,1,201601,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,35819.48,FALSE,0,FALSE,369324.1,0,369324.1,0,FALSE,TRUE
C,M,20160201,2016,2,201602,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,32432.19,FALSE,0,FALSE,309226.41,0,309226.41,0,FALSE,TRUE
C,M,20160301,2016,3,201603,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,55623.96,FALSE,0,FALSE,491508.12,0,491508.12,0,FALSE,TRUE
C,M,20160401,2016,4,201604,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,45396.27,FALSE,0,FALSE,338455.55,0,338455.55,0,FALSE,TRUE
C,M,20160501,2016,5,201605,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,54651.22,FALSE,0,FALSE,510499.9,0,510499.9,0,FALSE,TRUE
C,M,20160601,2016,6,201606,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,52378.52,FALSE,0,FALSE,519692.59,0,519692.59,0,FALSE,TRUE
C,M,20160701,2016,7,201607,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,36384.12,FALSE,0,FALSE,278978.4,0,278978.4,0,FALSE,TRUE
C,M,20160801,2016,8,201608,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,62059.56,FALSE,0,FALSE,360747.73,0,360747.73,0,FALSE,TRUE
C,M,20160901,2016,9,201609,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,42964.09,FALSE,0,FALSE,326355.06,0,326355.06,0,FALSE,TRUE
C,M,20161001,2016,10,201610,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,87331.55,FALSE,0,FALSE,635123.37,0,635123.37,0,FALSE,TRUE
C,M,20161101,2016,11,201611,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,66369.36,FALSE,0,FALSE,580691.73,0,580691.73,0,FALSE,TRUE
C,M,20161201,2016,12,201612,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,64463.62,FALSE,0,FALSE,335981.48,0,335981.48,0,FALSE,TRUE
C,M,20170101,2017,1,201701,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45919.76,FALSE,8,kg,45919.76,FALSE,45919.76,FALSE,0,FALSE,460604.97,448879.8,460604.97,0,FALSE,TRUE
C,M,20170201,2017,2,201702,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14472.85,FALSE,8,kg,14472.85,FALSE,14472.85,FALSE,0,FALSE,109328.91,102908.59,109328.91,0,FALSE,TRUE
C,M,20170301,2017,3,201703,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67643.54,FALSE,8,kg,67643.54,FALSE,67643.54,FALSE,0,FALSE,489843.32,468966.32,489843.32,0,FALSE,TRUE
C,M,20170401,2017,4,201704,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47841.28,FALSE,8,kg,47841.28,FALSE,47841.28,FALSE,0,FALSE,276997.12,266659.46,276997.12,0,FALSE,TRUE
C,M,20170501,2017,5,201705,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44614.13,FALSE,8,kg,44614.13,FALSE,44614.13,FALSE,0,FALSE,341843.31,329949.83,341843.31,0,FALSE,TRUE
C,M,20170601,2017,6,201706,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46752.02,FALSE,8,kg,46752.02,FALSE,46752.02,FALSE,0,FALSE,298679.87,289538.76,298679.87,0,FALSE,TRUE
C,M,20170701,2017,7,201707,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57721.61,FALSE,8,kg,57721.61,FALSE,57721.61,FALSE,0,FALSE,408279.53,394984.48,408279.53,0,FALSE,TRUE
C,M,20170801,2017,8,201708,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55085.21,FALSE,8,kg,55085.21,FALSE,55085.21,FALSE,0,FALSE,288160.81,276651.57,288160.81,0,FALSE,TRUE
C,M,20170901,2017,9,201709,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49517.99,FALSE,8,kg,49517.99,FALSE,49517.99,FALSE,0,FALSE,392821.28,375375.21,392821.28,0,FALSE,TRUE
C,M,20171001,2017,10,201710,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,52102.08,FALSE,8,kg,52102.08,FALSE,52102.08,FALSE,0,FALSE,490666.95,474154.53,490666.95,0,FALSE,TRUE
C,M,20171101,2017,11,201711,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,39462.78,FALSE,8,kg,39462.78,FALSE,39462.78,FALSE,0,FALSE,348896.77,335967.94,348896.77,0,FALSE,TRUE
C,M,20171201,2017,12,201712,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57464.47,FALSE,8,kg,57464.47,FALSE,57464.47,FALSE,0,FALSE,486154.66,474002.88,486154.66,0,FALSE,TRUE
C,M,20180101,2018,1,201801,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70331.01,FALSE,8,kg,70331.01,FALSE,70331.01,FALSE,0,FALSE,486009.94,460060.54,486009.94,0,FALSE,TRUE
C,M,20180201,2018,2,201802,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,32269.42,FALSE,8,kg,32269.42,FALSE,32269.42,FALSE,0,FALSE,221934.11,211737.99,221934.11,0,FALSE,TRUE
C,M,20180301,2018,3,201803,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,34970.29,FALSE,8,kg,34970.29,FALSE,34970.29,FALSE,0,FALSE,305463.88,295101.06,305463.88,0,FALSE,TRUE
C,M,20180401,2018,4,201804,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48170.02,FALSE,8,kg,48170.02,FALSE,48170.02,FALSE,0,FALSE,394010.44,378458.33,394010.44,0,FALSE,TRUE
C,M,20180501,2018,5,201805,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25264.06,FALSE,8,kg,25264.06,FALSE,25264.06,FALSE,0,FALSE,207524.73,198469.79,207524.73,0,FALSE,TRUE
C,M,20180601,2018,6,201806,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26280.87,FALSE,8,kg,26280.87,FALSE,26280.87,FALSE,0,FALSE,173101.14,167718.79,173101.14,0,FALSE,TRUE
C,M,20180701,2018,7,201807,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,505586.67,487444.8,505586.67,6,FALSE,TRUE
